,control_mean,control_std,diff_aflatoun,diff_hmb
female,0.5002895193977996,0.5001447387495941,-0.005143888329838475,-0.019992546239604336
age,12.809496236247828,1.9951163233069402,0.23562083970876913,-0.06877664744143175
baseline_save,0.4643891140706427,0.49887470736384365,-0.04177346586961472,-0.008649536686290926
baseline_saveamt,5.04221192819919,18.063587034821243,-0.9809612143214066,-0.2580600150067296
saving_attitude_index,-0.0009926944470179382,1.0004508987207943,0.07922777365318588,0.012079698815950005
saving_env_index,0.0027630647307469837,0.9963229564510413,-0.02103320553600112,0.015205786422879512
work_index,-0.0016500047191662047,1.001356829366941,-0.1051117979650143,0.02380515520460309
riskpref_index,0.004137531488129735,1.0031743426127517,0.029203905770579592,0.06953473734111072
timepref_index,0.0022954451071221594,0.9994573829779375,0.007276396651872674,0.006102740443991467
fin_lit_index,0.005180024053271572,0.9938142397561096,0.04687898269144572,0.013332544970143616
tempt_index,-0.00650045561088591,1.0019090338166745,-0.11452777117380851,-0.044969523275464704
expend_index,0.001517870243196305,1.0071913236922643,-0.009395309866268823,0.049204410767654645
academic_index,-0.001292629976838458,1.0003266486632745,0.023184492872326764,-0.06616758442064871
noattrit,0.9861030689056167,0.11709716492490353,0.0001904776392147589,0.0007615798665134843
